SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Source,Nature,Reporting Type,Units,latitude,longitude
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2021,188,IOM Missing Migrant Project,G,G,NUMBER,33.93911,67.709953
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),12,Algeria,2021,232,IOM Missing Migrant Project,G,G,NUMBER,28.033886,1.659626
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),32,Argentina,2021,4,IOM Missing Migrant Project,G,G,NUMBER,-38.416097,-63.616672
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),40,Austria,2021,2,IOM Missing Migrant Project,G,G,NUMBER,47.516231,14.550072
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),44,Bahamas,2021,7,IOM Missing Migrant Project,G,G,NUMBER,25.03428,-77.39628
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),50,Bangladesh,2021,33,IOM Missing Migrant Project,G,G,NUMBER,23.684994,90.356331
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),68,Bolivia,2021,16,IOM Missing Migrant Project,G,G,NUMBER,-16.290154,-63.588653
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),70,Bosnia and Herzegovina,2021,8,IOM Missing Migrant Project,G,G,NUMBER,43.915886,17.679076
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),100,Bulgaria,2021,1,IOM Missing Migrant Project,G,G,NUMBER,42.733883,25.48583
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),112,Belarus,2021,10,IOM Missing Migrant Project,G,G,NUMBER,53.709807,27.953389
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),132,Cabo Verde,2021,0,IOM Missing Migrant Project,G,G,NUMBER,15.120142,-23.605172
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),152,Chile,2021,22,IOM Missing Migrant Project,G,G,NUMBER,-35.675147,-71.542969
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),170,Colombia,2021,79,IOM Missing Migrant Project,G,G,NUMBER,4.570868,-74.297333
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),175,Mayotte,2021,63,IOM Missing Migrant Project,G,G,NUMBER,-12.8275,45.166244
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),188,Costa Rica,2021,1,IOM Missing Migrant Project,G,G,NUMBER,9.748917,-83.753428
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),191,Croatia,2021,8,IOM Missing Migrant Project,G,G,NUMBER,45.1,15.2
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),192,Cuba,2021,16,IOM Missing Migrant Project,G,G,NUMBER,21.521757,-77.781167
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),214,Dominican Republic,2021,68,IOM Missing Migrant Project,G,G,NUMBER,18.735693,-70.162651
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),218,Ecuador,2021,3,IOM Missing Migrant Project,G,G,NUMBER,-1.831239,-78.183406
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),222,El Salvador,2021,4,IOM Missing Migrant Project,G,G,NUMBER,13.794185,-88.89653
SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),231,Ethiopia,2021,26,IOM Missing Migrant Project,G,G,NUMBER,9.145,40.489673
