rank,word,text,year
1,countries,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
1,countries,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017
1,countries,"Based on estimates from 84 countries in 2015, 39 per cent of the global population used safely managed sanitation services—basic facilities that safely dispose of human waste.",2018
1,countries,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019
1,countries,Policies adopted by Governments subsequent to the COVID-19 pandemic have had different impacts on homicide prevalence in various countries.,2020
1,countries,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
1,countries," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
2,regions,A number of regions have enjoyed increased and sustained levels of peace and security in recent decades.,2016
2,2015,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
2,2016,"While total official development assistance (ODA) committed and disbursed across all sectors steadily increased between 2012 and 2016, the share of ODA commitments to waterrelated activities declined.",2018
2,global,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019
2,global,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020
2,2020,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021
2,global," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
3,developing,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016
3,Africa,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
3,billion,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
3,2017,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019
3,health,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020
3,global,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021
3,2020," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
4,people,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
4,people,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017
4,water,Safe drinking water and sanitation are basic human rights.,2018
4,people,"Millions of people have been deprived of their security, rights and opportunities, while attacks on human rights activists and journalists are holding back development.",2019
4,people,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
4,pandemic,The COVID-19 pandemic has exposed and intensified inequality and discrimination.,2021
4,people,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022
5,development,"Climate change presents the single biggest threat to development, and its widespread, unprecedented effects disproportionately burden the poorest and the most vulnerable.",2016
5,global,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017
5,people,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
5,million,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019
5,COVID-19,The COVID-19 pandemic threatens to amplify and exploit fragilities across the globe.,2020
5,million,"Each year, tens of millions of people are displaced due to persecution, conflict or generalized violence.",2021
5,million,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022
6,2015,"The period from 2011 to 2015 was the hottest on record, with sea ice reaching its lowest level in history and coral bleaching – resulting from increased sea surface temperatures – threatening the world’s coral reefs.",2016
6,regions,"Progress in promoting peace and justice, and in building effective, accountable and inclusive institutions remains uneven across and within regions.",2017
6,global,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
