rank,word,text,year,preset
1,countries,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016,yes
1,countries,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017,yes
1,countries,"Based on estimates from 84 countries in 2015, 39 per cent of the global population used safely managed sanitation services—basic facilities that safely dispose of human waste.",2018,yes
1,countries,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019,yes
1,countries,Policies adopted by Governments subsequent to the COVID-19 pandemic have had different impacts on homicide prevalence in various countries.,2020,yes
1,countries,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021,yes
1,countries," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,yes
2,regions,A number of regions have enjoyed increased and sustained levels of peace and security in recent decades.,2016,
2,2015,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017,
2,2016,"While total official development assistance (ODA) committed and disbursed across all sectors steadily increased between 2012 and 2016, the share of ODA commitments to waterrelated activities declined.",2018,
2,global,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019,
2,global,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020,
2,2020,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021,
2,global," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,
3,developing,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016,
3,Africa,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017,
3,water,Safe drinking water and sanitation are basic human rights.,2018,yes
3,2017,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019,
